CMDLINE python3.6 makeSA.py
MEM 0.824219 1598331552.2252
MEM 48.621094 1598331552.3256
MEM 90.843750 1598331552.4259
MEM 132.359375 1598331552.5262
MEM 147.957031 1598331552.6265
MEM 190.980469 1598331552.7268
MEM 200.535156 1598331552.8271
MEM 202.078125 1598331552.9274
MEM 203.355469 1598331553.0278
